name,url,category
站内,#,常用
Bing,https://www.bing.com,常用
百度,https://www.baidu.com,常用
Google,https://www.google.com,常用
Perplexity,https://www.perplexity.ai,常用
Bing,https://www.bing.com,搜索
百度,https://www.baidu.com,搜索
Google,https://www.google.com,搜索
Perplexity,https://www.perplexity.ai,搜索
YOU,https://you.com,搜索
360,https://www.so.com,搜索
搜狗,https://www.sogou.com,搜索
神马,https://www.sm.cn,搜索
Hugging Face,https://huggingface.co,社区
GitHub,https://github.com,社区
飞桨,https://www.paddlepaddle.org.cn,社区
魔搭,https://modelscope.cn,社区
和鲸,https://www.heywhale.com,社区
掘金,https://juejin.cn,社区
知乎,https://www.zhihu.com,社区
文心一格,https://yige.baidu.com,图片
花瓣AI圈,https://huaban.com/ai,图片
Civitai,https://civitai.com,图片
OpenArt,https://openart.ai,图片
NightCafe,https://creator.nightcafe.studio,图片
DeviantArt,https://www.deviantart.com,图片
Lexica,https://lexica.art,图片
淘宝,https://www.taobao.com,生活
京东,https://www.jd.com,生活
下厨房,https://www.xiachufang.com,生活
香哈菜谱,https://www.xiangha.com,生活
12306,https://www.12306.cn,生活
快递100,https://www.kuaidi100.com,生活
去哪儿,https://www.qunar.com,生活
